osm_id,name,lat,lon,region,federal_district,cluster,cluster_name,dist_to_region_center_km,dist_to_moscow_km,federal_district_code,gps_density_5km,grp_per_capita_2021,population_2021,urban_pct
543071755,Ленинградская школа,55.1975085,86.1261458,Kemerovo,СФО,4,Кластер 5,17.5858702680949,2994.4950050067787,7,7906,557,2666,86
543259178,Первомайская средняя школа,53.7294864,84.0300566,Altay,СФО,6,Кластер 7,209.75595854885225,2931.4838429913907,7,1661,278,2298,58
545448591,Школа села Назино,60.1259173,78.9439372,Tomsk,СФО,3,Кластер 4,535.4517859526972,2444.4883627488275,7,0,543,1077,70
545762011,Кайгородская СОШ,53.9815451,79.1981046,Novosibirsk,СФО,4,Кластер 5,264.3101137100806,2627.7389407019514,7,473,430,2798,79
546971874,Школа пос. Ленский,54.0053413,80.1418638,Altay,СФО,6,Кластер 7,295.7526526434438,2684.1985065163167,7,0,278,2298,58
547140275,Большеямская школа Имени Сергея Грезина,55.5804595,85.490037,Kemerovo,СФО,4,Кластер 5,45.2245832450233,2941.7404842501915,7,819,557,2666,86
547157887,Верх-тайменская Общеобразовательная школа,55.647057,85.2196986,Kemerovo,СФО,4,Кластер 5,63.55005292464006,2923.2476030996554,7,82,557,2666,86
547257505,Шишинская школа,55.3653503,85.2245681,Kemerovo,СФО,4,Кластер 5,54.46172385699908,2934.5084762717797,7,13574,557,2666,86
547961459,Школа,53.9855626,78.7002799,Novosibirsk,СФО,4,Кластер 5,293.55544233248344,2597.2344855798815,7,101,430,2798,79
548855611,Первомайская школа,56.1737338,88.0199115,Kemerovo,СФО,4,Кластер 5,151.46776119730583,3066.478977468433,7,12145,557,2666,86
549116587,Средняя Общеобразовательная школа № 6,55.9610894,97.8103254,Irkutsk,СФО,3,Кластер 4,587.1116731963751,3635.235515255491,7,10314,607,2375,79
549658764,Школа № 110,53.7844284,87.2856284,Kemerovo,СФО,4,Кластер 5,190.8858058746054,3124.69896845782,7,200419,557,2666,86
549659183,школа №56,53.7844071,87.2874186,Kemerovo,СФО,4,Кластер 5,190.9347352825613,3124.8070544094658,7,200419,557,2666,86
549928882,Школа,54.1854819,79.1577253,Novosibirsk,СФО,4,Кластер 5,257.410668744316,2617.1248147912597,7,55,430,2798,79
549933567,Светловская школа,54.1952424,78.7131357,Novosibirsk,СФО,4,Кластер 5,284.0680364093867,2589.6952744427717,7,0,430,2798,79
550011373,Школа,53.7168695,78.9449349,Novosibirsk,СФО,4,Кластер 5,292.96798929960596,2623.1017108098963,7,0,430,2798,79
